filename_mel,prob_ai_mel,prob_human_mel,true_label_mel,pred_label_mel,base_filename,filename_mfcc,prob_ai_mfcc,prob_human_mfcc,true_label_mfcc,pred_label_mfcc,filename_plp,prob_ai_plp,prob_human_plp,true_label_plp,pred_label_plp,filename_cqt,prob_ai_cqt,prob_human_cqt,true_label_cqt,pred_label_cqt,filename_chrm,prob_ai_chrm,prob_human_chrm,true_label_chrm,pred_label_chrm,weighted_prob_ai,weighted_prob_human,final_pred_label
H279N-Mel_Spectrogram.png,1.1099976493511574e-09,1.0,1,1,H279N,H279N-MFCC.png,5.507722099576395e-13,1.0,1,1,H279N_plp.png,0.2993243038654327,0.7006756663322449,1,1,H279N-CQT.png,1.6755206111440655e-09,1.0,1,1,H279N-Chromagram.png,1.1091939313701005e-06,0.999998927116394,1,1,0.0149663268636295,0.9850336760282516,1
H8167N-Mel_Spectrogram.png,6.551629239126554e-10,1.0,1,1,H8167N,H8167N-MFCC.png,1.3672250133822672e-05,0.9999862909317015,1,1,H8167N_plp.png,0.171981006860733,0.8280189633369446,1,1,H8167N-CQT.png,4.0464362882630667e-07,0.9999996423721312,1,1,H8167N-Chromagram.png,0.108671985566616,0.8913280367851257,1,1,0.019469727953599344,0.9805302709341049,1
S4594RN_segment_1-Mel_Spectrogram.png,1.0,8.372043835101761e-13,0,0,S4594RN_segment_1,S4594RN_segment_1-MFCC.png,1.0,1.766646939849181e-09,0,0,S4594RN_segment_1_plp.png,0.8433550596237183,0.1566449403762817,0,0,S4594RN_segment_1-CQT.png,0.998728573322296,0.0012714118929579,0,0,S4594RN_segment_1-Chromagram.png,0.9939520955085754,0.0060478691011667,0,0,0.9913722485303879,0.00862774615491292,0
U524RN_segment_1_stretched-Mel_Spectrogram.png,1.0,5.991906970592709e-10,0,0,U524RN_segment_1_stretched,U524RN_segment_1_stretched-MFCC.png,1.0,6.5424814003900425e-12,0,0,U524RN_segment_1_stretched_plp.png,0.983302652835846,0.016697384417057,0,0,U524RN_segment_1_stretched-CQT.png,1.0,1.357173040616999e-09,0,0,U524RN_segment_1_stretched-Chromagram.png,0.999000370502472,0.000999649753794,0,0,0.9990651696920395,0.0009348346710796402,0
U1301RN_segment_2_stretched-Mel_Spectrogram.png,0.9999868869781494,1.315380086452933e-05,0,0,U1301RN_segment_2_stretched,U1301RN_segment_2_stretched-MFCC.png,1.0,3.451138680388155e-12,0,0,U1301RN_segment_2_stretched_plp.png,0.8441274762153625,0.1558725535869598,0,0,U1301RN_segment_2_stretched-CQT.png,0.999876856803894,0.0001231662899954,0,0,U1301RN_segment_2_stretched-Chromagram.png,0.9725766777992249,0.0274233408272266,0,0,0.9894396692514419,0.010560355916821782,0
H22433N-Mel_Spectrogram.png,9.916481857885628e-09,1.0,1,1,H22433N,H22433N-MFCC.png,2.032459815382026e-05,0.9999797344207764,1,1,H22433N_plp.png,0.1742866784334182,0.8257132768630981,1,1,H22433N-CQT.png,1.2666443581110798e-05,0.9999873638153076,1,1,H22433N-Chromagram.png,0.0016673885984346,0.998332679271698,1,1,0.008888058360006825,0.991111969947815,1
S2018RN_segment_1-Mel_Spectrogram.png,1.0,1.5551948617797958e-11,0,0,S2018RN_segment_1,S2018RN_segment_1-MFCC.png,0.999997615814209,2.3449176751455525e-06,0,0,S2018RN_segment_1_plp.png,0.9153159260749816,0.0846840068697929,0,0,S2018RN_segment_1-CQT.png,1.0,1.174215564191117e-12,0,0,S2018RN_segment_1-Chromagram.png,1.0,3.942167126069762e-08,0,0,0.9957652002573013,0.0042347905222500665,0
S4062RN_segment_1-Mel_Spectrogram.png,0.9999780654907228,2.1978419681545347e-05,0,0,S4062RN_segment_1,S4062RN_segment_1-MFCC.png,0.0498140156269073,0.950186014175415,0,1,S4062RN_segment_1_plp.png,0.1939114034175872,0.8060886263847351,0,1,S4062RN_segment_1-CQT.png,0.9999048709869384,9.513563418295234e-05,0,0,S4062RN_segment_1-Chromagram.png,0.8322606682777405,0.1677393764257431,0,0,0.7053510010242463,0.29464903313964896,0
U379RN_segment_2_stretched-Mel_Spectrogram.png,1.0,9.72198085924525e-11,0,0,U379RN_segment_2_stretched,U379RN_segment_2_stretched-MFCC.png,1.0,1.3909440370262166e-15,0,0,U379RN_segment_2_stretched_plp.png,0.8889233469963074,0.1110765933990478,0,0,U379RN_segment_2_stretched-CQT.png,0.9993464350700378,0.0006535423453897,0,0,U379RN_segment_2_stretched-Chromagram.png,0.9962759017944336,0.0037241280078887,0,0,0.9939757227897643,0.006024273866298977,0
H17644N-Mel_Spectrogram.png,4.016103218873468e-07,0.9999996423721312,1,1,H17644N,H17644N-MFCC.png,0.0057494421489536,0.9942505359649658,1,1,H17644N_plp.png,0.0752625465393066,0.9247374534606934,1,1,H17644N-CQT.png,2.436391923765769e-07,0.9999997615814208,1,1,H17644N-Chromagram.png,0.7611473798751831,0.2388526648283004,1,0,0.08131544312224576,0.9186845764517785,1
