filename_mel,prob_ai_mel,prob_human_mel,true_label_mel,pred_label_mel,base_filename,filename_lyrics,prob_ai_lyrics,prob_human_lyrics,true_label_lyrics,pred_label_lyrics,filename_mfcc,prob_ai_mfcc,prob_human_mfcc,true_label_mfcc,pred_label_mfcc,filename_cqt,prob_ai_cqt,prob_human_cqt,true_label_cqt,pred_label_cqt,filename_melt,prob_ai_melt,prob_human_melt,true_label_melt,pred_label_melt,filename_mfcct,prob_ai_mfcct,prob_human_mfcct,true_label_mfcct,pred_label_mfcct,weighted_prob_ai,weighted_prob_human,final_pred_label
H279N-Mel_Spectrogram.png,1.1099976493511574e-09,1.0,1,1,H279N,,,,,,H279N-MFCC.png,5.507722099576395e-13,1.0,1,1,H279N-CQT.png,1.6755206111440655e-09,1.0,1,1,H279N.pt,0.000248,0.999752,1,1,H279N.pt,2e-06,0.999998,1,1,6.933373484228748e-05,0.9999306666666667,1
H8167N-Mel_Spectrogram.png,6.551629239126554e-10,1.0,1,1,H8167N,,,,,,H8167N-MFCC.png,1.3672250133822672e-05,0.9999862909317015,1,1,H8167N-CQT.png,4.0464362882630667e-07,0.9999996423721312,1,1,H8167N.pt,0.028647,0.971353,1,1,H8167N.pt,2e-06,0.999998,1,1,0.007960245814991385,0.9920397508426244,1
S4594RN_segment_1-Mel_Spectrogram.png,1.0,8.372043835101761e-13,0,0,S4594RN_segment_1,,,,,,S4594RN_segment_1-MFCC.png,1.0,1.766646939849181e-09,0,0,S4594RN_segment_1-CQT.png,0.998728573322296,0.0012714118929579,0,0,S4594RN_segment_1.pt,0.997263,0.002737,0,0,S4594RN_segment_1.pt,0.999999,1e-06,0,0,0.9991688651845722,0.0008311342887269301,0
U524RN_segment_1_stretched-Mel_Spectrogram.png,1.0,5.991906970592709e-10,0,0,U524RN_segment_1_stretched,,,,,,U524RN_segment_1_stretched-MFCC.png,1.0,6.5424814003900425e-12,0,0,U524RN_segment_1_stretched-CQT.png,1.0,1.357173040616999e-09,0,0,U524RN_segment_1_stretched.pt,0.994615,0.005385,0,0,U524RN_segment_1_stretched.pt,0.999999,1e-06,0,0,0.9985039444444447,0.0014960557984863316,0
U1301RN_segment_2_stretched-Mel_Spectrogram.png,0.9999868869781494,1.315380086452933e-05,0,0,U1301RN_segment_2_stretched,,,,,,U1301RN_segment_2_stretched-MFCC.png,1.0,3.451138680388155e-12,0,0,U1301RN_segment_2_stretched-CQT.png,0.999876856803894,0.0001231662899954,0,0,U1301RN_segment_2_stretched.pt,0.997542,0.002458,0,0,U1301RN_segment_2_stretched.pt,0.999999,1e-06,0,0,0.9993065162052579,0.0006934964058150813,0
H22433N-Mel_Spectrogram.png,9.916481857885628e-09,1.0,1,1,H22433N,,,,,,H22433N-MFCC.png,2.032459815382026e-05,0.9999797344207764,1,1,H22433N-CQT.png,1.2666443581110798e-05,0.9999873638153076,1,1,H22433N.pt,0.00049,0.99951,1,1,H22433N.pt,2e-06,0.999998,1,1,0.00014064943446954786,0.9998593648376467,1
S2018RN_segment_1-Mel_Spectrogram.png,1.0,1.5551948617797958e-11,0,0,S2018RN_segment_1,,,,,,S2018RN_segment_1-MFCC.png,0.999997615814209,2.3449176751455525e-06,0,0,S2018RN_segment_1-CQT.png,1.0,1.174215564191117e-12,0,0,S2018RN_segment_1.pt,0.999977,2.3e-05,0,0,S2018RN_segment_1.pt,0.999998,2e-06,0,0,0.9999927693023684,7.2241573310775185e-06,0
S4062RN_segment_1-Mel_Spectrogram.png,0.9999780654907228,2.1978419681545347e-05,0,0,S4062RN_segment_1,,,,,,S4062RN_segment_1-MFCC.png,0.0498140156269073,0.950186014175415,0,1,S4062RN_segment_1-CQT.png,0.9999048709869384,9.513563418295234e-05,0,0,S4062RN_segment_1.pt,0.148137,0.851863,0,1,S4062RN_segment_1.pt,0.999999,1e-06,0,0,0.6049954580734043,0.3950045594588243,0
U379RN_segment_2_stretched-Mel_Spectrogram.png,1.0,9.72198085924525e-11,0,0,U379RN_segment_2_stretched,,,,,,U379RN_segment_2_stretched-MFCC.png,1.0,1.3909440370262166e-15,0,0,U379RN_segment_2_stretched-CQT.png,0.9993464350700378,0.0006535423453897,0,0,U379RN_segment_2_stretched.pt,0.999986,1.4e-05,0,0,U379RN_segment_2_stretched.pt,0.999994,6e-06,0,0,0.9999584686150023,4.153015730516199e-05,0
H17644N-Mel_Spectrogram.png,4.016103218873468e-07,0.9999996423721312,1,1,H17644N,,,,,,H17644N-MFCC.png,0.0057494421489536,0.9942505359649658,1,1,H17644N-CQT.png,2.436391923765769e-07,0.9999997615814208,1,1,H17644N.pt,0.012692,0.987308,1,1,H17644N.pt,2e-06,0.999998,1,1,0.0044843654520923685,0.9955156434076099,1
U1081RN_segment_2-Mel_Spectrogram.png,1.0,2.850057412295825e-10,0,0,U1081RN_segment_2,U1081RN_segment_2_lyrics.txt,0.0407382808625698,0.9592616558074952,0.0,1.0,U1081RN_segment_2-MFCC.png,1.0,1.2659078230115026e-09,0,0,U1081RN_segment_2-CQT.png,0.000115285605716,0.9998847246170044,0,1,U1081RN_segment_2.pt,0.999988,1.2e-05,0,0,U1081RN_segment_2.pt,0.999998,2e-06,0,0,0.8540761923665429,0.1459238020727374,0
S5037RN_segment_2_shifted-Mel_Spectrogram.png,1.0,5.2710744502349347e-17,0,0,S5037RN_segment_2_shifted,,,,,,S5037RN_segment_2_shifted-MFCC.png,1.0,1.7309025736310598e-19,0,0,S5037RN_segment_2_shifted-CQT.png,1.0,1.233265989331045e-10,0,0,S5037RN_segment_2_shifted.pt,0.99907,0.00093,0,0,S5037RN_segment_2_shifted.pt,1.0,0.0,0,0,0.9997416666666669,0.00025833334018482575,0
S5248RN_segment_1-Mel_Spectrogram.png,1.0,2.1168810248554245e-13,0,0,S5248RN_segment_1,,,,,,S5248RN_segment_1-MFCC.png,1.0,6.54635070110321e-12,0,0,S5248RN_segment_1-CQT.png,0.9999877214431764,1.2326108844717965e-05,0,0,S5248RN_segment_1.pt,0.999996,4e-06,0,0,S5248RN_segment_1.pt,0.999998,2e-06,0,0,0.9999977623023988,2.2403405301228103e-06,0
U52RN_segment_1_shifted-Mel_Spectrogram.png,1.0,5.618294024456461e-12,0,0,U52RN_segment_1_shifted,,,,,,U52RN_segment_1_shifted-MFCC.png,1.0,4.025930977480385e-10,0,0,U52RN_segment_1_shifted-CQT.png,0.0003167342219967,0.9996832609176636,0,1,U52RN_segment_1_shifted.pt,0.94654,0.05346,0,0,U52RN_segment_1_shifted.pt,0.999994,6e-06,0,0,0.9296107074567778,0.07038929234186303,0
S1043RN_segment_2-Mel_Spectrogram.png,1.0,4.998076952311692e-10,0,0,S1043RN_segment_2,,,,,,S1043RN_segment_2-MFCC.png,1.0,9.234718767459071e-09,0,0,S1043RN_segment_2-CQT.png,1.0,7.620605257940837e-10,0,0,S1043RN_segment_2.pt,0.999965,3.5e-05,0,0,S1043RN_segment_2.pt,0.999998,2e-06,0,0,0.9999898333333336,1.016838695862802e-05,0
H16356N-Mel_Spectrogram.png,4.623325160213465e-12,1.0,1,1,H16356N,H16356N_lyrics.txt,0.0413307063281536,0.9586692452430724,1.0,1.0,H16356N-MFCC.png,1.1872765270926067e-10,1.0,1,1,H16356N-CQT.png,3.5666456767169405e-15,1.0,1,1,H16356N.pt,0.000479,0.999521,1,1,H16356N.pt,2e-06,0.999998,1,1,0.00425322065178052,0.9957467745243074,1
S3002RN_segment_1-Mel_Spectrogram.png,1.0,1.301230095895889e-10,0,0,S3002RN_segment_1,,,,,,S3002RN_segment_1-MFCC.png,1.0,5.824438425051233e-14,0,0,S3002RN_segment_1-CQT.png,1.0,2.5880964038549337e-10,0,0,S3002RN_segment_1.pt,0.999993,7e-06,0,0,S3002RN_segment_1.pt,0.999998,2e-06,0,0,0.9999976111111113,2.388939422190083e-06,0
S770RN_segment_1-Mel_Spectrogram.png,1.0,8.982692248447195e-14,0,0,S770RN_segment_1,,,,,,S770RN_segment_1-MFCC.png,1.0,5.899170583446857e-13,0,0,S770RN_segment_1-CQT.png,0.9999233484268188,7.668717444175854e-05,0,0,S770RN_segment_1.pt,0.999964,3.6e-05,0,0,S770RN_segment_1.pt,0.999997,3e-06,0,0,0.9999850749126011,1.4927065370035797e-05,0
